kartez,family,genus,sp_epithet,subspecies_variety,common_name,Native,PhotoPath,LifeHistory,FunctionalGroup
LUKIA,Fabaceae,Lupinus,kingii,var. argillaceus,King's lupine,y,C3,a,f
LYAM,Lamiaceae,Lycopus,americanus,,American water horehound,y,C3,p,f
LYAS,Lamiaceae,Lycopus,asper,,rough bugleweed,y,C3,p,f
LYPA,Solanaceae,Lycium,pallidum,,pale desert thorn,y,C3,p,s
LYPH,Poaceae,Lycurus,phleoides,,common wolfstail,y,C4,p,g
LYTO,Solanaceae,Lycium,torreyi,,Torrey wolfberry,y,C3,p,s
MAAN9,Scrophulariaceae,Maurandella,antirrhiniflora,,roving sailor,y,C3,p,f
MABIB,Asteraceae,Machaeranthera,bigelovii,var. bigelovii,Bigelow's tansyaster,y,NA,p,f
MACA2,Asteraceae,Machaeranthera,canescens,subsp. canescens var. canescens,hoary tansyaster,y,C3,p,f
MAFE,Asteraceae,Malacothrix,fendleri,,Fendler's desertdandelion,y,C3,a,f
MAGR10,Asteraceae,Machaeranthera,gracilis,,slender goldenweed,y,C3,a,f
MAHA4,Berberidaceae,Mahonia,haematocarpa,,red barberry,y,C3,p,s
MAHEH2,Cactaceae,Mammilaria,heyderi,var. heyderi,little nipple cactus ,y,CAM,p,s
MALE3,Malvaceae,Malvella,leprosa,,alkali mallow,y,C3,p,f
MAPIP,Asteraceae,Machaeranthera,pinnatifida,subsp. pinnatifida,lacy tansyaster,y,C3,p,f
MARE11,Berberidaceae,Mahonia,repens,,creeping barberry,y,C3,p,s
MATA2,Asteraceae,Machaeranthera,tanacetifolia,,tanseyleaf aster,y,C3,a,f
MAWR2,Cactaceae,Mammilaria,wrightii,,Wright's nipple cactus,y,CAM,p,s
MEAL6,Loasaceae,Mentzelia,albicaulis,,whitestem blazingstar,y,C3,a,f
MEAR4,Lamiaceae,Mentha,arvensis,,wild mint,y,C3,p,f
MEHU,Loasaceae,Mentzelia,humilis,,gypsum blazingstar,y,C3,p,f
MELA,Loasaceae,Mentzelia,laciniata,,cutleaf blazingstar,y,C3,p,f
MELE2,Asteraceae,Melampodium,leucanthum,,plains blackfoot,y,C3,p,f
MEMU3,Loasaceae,Mentzelia,multiflora,,Adonis blazingstar,y,C3,p,f
MEMUM2,Loasaceae,Mentzelia,multiflora,var. multiflora,Adonis blazingstar,y,C3,p,f
MEOF,Fabaceae,Melilotus,officinalis,,yellow sweetclover,y,C3,p,f
MEOL,Loasaceae,Mentzelia,oligosperma,,chickenthief,y,C3,p,f
