water_yr,pdo,nino34,pdsi,spei,yearly_ppt_mm,summer_ppt_mm,summer_pdsi,summer_spei,summer_tmax,summer_tmin,winter_ppt_mm,winter_pdsi,winter_spei,winter_tmax,winter_tmin,pdo_phase,enso_phase
1978,0.100833333,0.1075,-2.385,0.021148485,288.85,216.92,-3.964,0.510043047,32.79882548,13.5886244,71.93,-1.257142857,-0.328061916,20.31910248,-0.50283535,warm,ElNino
1979,0.208333333,0.038333333,3.529166667,0.797227139,346.1,163.74,3.586,0.554838902,31.89320727,11.71799283,182.36,3.488571429,0.970361594,17.58824431,-0.977913101,warm,Neutral
1980,0.560833333,0.225,1.604166667,0.321428523,221.75,131.07,0.202,-0.147955611,33.779092,12.69903102,90.68,2.605714286,0.656702904,18.87425872,-3.527880184,warm,Neutral
1981,0.915833333,-0.14,-0.869166667,0.206094588,266.19,212.34,-0.628,0.563048524,32.46623656,13.70564331,53.85,-1.041428571,-0.048872509,19.28070999,-2.238753356,warm,Neutral
1982,0.22,0.3625,-1.425,-0.070989957,259.07,210.06,-1.71,0.529135749,32.47188406,13.057223,49.01,-1.221428571,-0.499651176,19.98368932,-0.860725867,warm,Neutral
1983,1.374166667,1.238333333,1.453333333,0.520959869,236.73,108.48,1.98,0.033377951,32.62451613,12.4088172,128.25,1.077142857,0.869232667,16.66496905,-1.752702102,warm,ElNino
1984,0.9675,-0.684166667,0.3825,0.423934073,451.35,353.82,0.24,0.861410676,32.64666667,13.68408602,97.53,0.484285714,0.111450785,18.98003072,-0.885407066,warm,LaNina
1985,0.631666667,-0.884166667,5.135,0.707028649,380.47,180.32,4.67,0.265768072,33.23935484,11.46602151,200.15,5.467142857,1.022214776,17.6053544,-0.824775071,warm,LaNina
1986,0.854166667,-0.281666667,3.926666667,0.042491111,309.13,212.36,2.644,0.653609234,31.66946237,13.29290323,96.77,4.842857143,-0.394021834,20.19534782,-1.040311609,warm,LaNina
1987,1.8575,1.159166667,4.293333333,0.730560719,341.37,184.65,4.072,0.498818864,31.42666667,12.20602151,156.72,4.451428571,0.896090616,17.56553654,-2.195973228,warm,ElNino
1988,0.919166667,-0.19,2.914166667,0.481586467,279.65,168.14,2.292,0.439698651,31.18695762,12.80329749,111.51,3.358571429,0.511506337,18.48387626,-2.566417713,warm,ElNino
1989,-0.155833333,-1.24,0.311666667,-0.04295011,266.67,179.04,-1.054,0.121847726,32.56837597,13.02971652,87.63,1.287142857,-0.16066285,20.33078281,-1.004716021,warm,LaNina
1990,-0.040833333,0.064166667,-1.064166667,0.08764982,242.06,164.31,-0.42,-0.040454585,31.74494624,14.31870968,77.75,-1.524285714,0.179152967,19.12126399,-2.420430108,warm,Neutral
1991,-0.886666667,0.335833333,1.391666667,0.525261412,328.89,244.83,0.804,0.821518298,30.72322581,12.97892473,84.06,1.811428571,0.31364935,18.51025894,-1.315229318,warm,Neutral
1992,0.8125,0.965833333,5.258333333,0.78525619,390.65,185.91,6.416,0.598614853,31.55763441,12.53397849,204.74,4.431428571,0.918571431,17.98627046,-1.194655437,warm,ElNino
1993,1.305833333,0.33,3.755833333,0.347540985,293.62,160.01,2.704,0.117281596,32.25978495,13.23290323,133.61,4.507142857,0.512011976,18.52126399,-0.914911126,warm,Neutral
1994,0.580833333,0.18,-0.468333333,-0.326883226,187.2,112.53,-1.602,-0.984802658,34.26983892,15.04820171,74.67,0.341428571,0.143059225,19.14943891,-2.172815978,warm,Neutral
1995,0.190833333,0.430833333,-0.710833333,0.114142837,276.09,156.96,-0.85,-0.094246637,32.85297179,13.8162163,119.13,-0.611428571,0.262992461,19.16252773,-0.000123889,warm,ElNino
1996,0.6925,-0.470833333,-2.501666667,-0.514073783,271.28,243.85,-2.08,-0.023480384,33.48753765,14.55973798,27.43,-2.802857143,-0.864497639,20.91210776,-0.90438162,warm,LaNina
1997,1.155,0.521666667,-0.995,0.396927186,375.94,297.2,-0.466,0.7970689,32.78848909,14.33429419,78.74,-1.372857143,0.111111677,18.95751688,-1.358674121,warm,Neutral
