year,month,pdsi
1933,1,1.52
1933,2,1.76
1933,3,1.57
1933,4,1.34
1933,5,0.91
1933,6,2.6
1933,7,1.95
1933,8,1.26
1933,9,7.51
1933,10,-0.89
1933,11,-1.24
1933,12,-2.13
1934,1,-2.41
1934,2,-2.75
1934,3,-2.61
1934,4,-2.76
1934,5,-2.86
1934,6,-3.09
1934,7,-3.7
1934,8,-3.72
1934,9,4.47
1934,10,-4.05
1934,11,-3.8
1934,12,-3.88
1935,1,-3.73
1935,2,-3.32
1935,3,-3.54
1935,4,-3.56
1935,5,-2.74
1935,6,-2.67
1935,7,-3.48
1935,8,-2.08
1935,9,6.99
1935,10,-2.03
1935,11,-1.4
1935,12,-1.22
1936,1,0.61
1936,2,0.7
1936,3,0.62
1936,4,0.33
1936,5,0.55
1936,6,-0.02
1936,7,-0.8
1936,8,-1.58
1936,9,7.12
1936,10,-0.49
1936,11,0.96
1936,12,0.62
1937,1,0.03
1937,2,0.92
1937,3,1.83
1937,4,1.67
1937,5,2.08
1937,6,2.04
1937,7,0.5
1937,8,-1.38
1937,9,6.84
1937,10,-0.58
1937,11,-1.23
1937,12,-1.14
1938,1,-0.63
1938,2,-0.76
1938,3,-0.83
1938,4,-1.19
1938,5,-1.59
1938,6,-0.22
1938,7,2.1
1938,8,0
1938,9,8.86
1938,10,1.16
1938,11,0.57
1938,12,0.73
1939,1,1.21
1939,2,1.22
1939,3,1.62
1939,4,1.44
1939,5,0.71
1939,6,-0.46
1939,7,-0.89
1939,8,-1.59
1939,9,6.39
1939,10,-0.8
1939,11,-0.09
1939,12,-0.62
1940,1,-0.56
1940,2,0.23
1940,3,-0.19
1940,4,-0.18
1940,5,0.47
1940,6,1.23
1940,7,0.31
1940,8,-1.09
1940,9,6.62
1940,10,-1.31
1940,11,-0.13
1940,12,-0.65
1941,1,1.32
1941,2,1.67
1941,3,2.93
1941,4,4.47
1941,5,5.52
1941,6,5.44
1941,7,4.88
1941,8,5.08
1941,9,13.12
1941,10,7.87
1941,11,7.07
1941,12,6.42
1942,1,5.58
1942,2,5.11
1942,3,4.45
1942,4,4.75
1942,5,3.99
1942,6,3.11
1942,7,2.23
1942,8,2.84
1942,9,9.06
1942,10,2.81
1942,11,1.81
1942,12,1.95
1943,1,1.62
1943,2,0.56
1943,3,-0.55
1943,4,-1.66
1943,5,-1.86
1943,6,-0.41
1943,7,-0.57
1943,8,-1.64
1943,9,7.27
1943,10,-2.03
1943,11,-1.62
1943,12,-0.76
1944,1,-0.24
1944,2,0.81
1944,3,1.25
1944,4,0.94
1944,5,0.82
1944,6,0.3
1944,7,0.24
1944,8,0.58
1944,9,7.52
1944,10,1.17
1944,11,1.72
1944,12,1.5
1945,1,1.33
1945,2,0.68
1945,3,0.46
1945,4,-0.29
1945,5,-1.19
1945,6,-1.72
1945,7,-1.93
1945,8,-1.84
1945,9,5.15
1945,10,-1.37
1945,11,-1.79
1945,12,-2.09
1946,1,-1.05
1946,2,-1.23
1946,3,-1.35
1946,4,-1.64
1946,5,-1.46
1946,6,-1.74
1946,7,-1.99
1946,8,-2.03
1946,9,6.09
1946,10,-1.86
1946,11,-1.81
1946,12,-1.72
1947,1,-0.86
1947,2,-1.14
1947,3,-1.04
1947,4,-1.36
1947,5,-1.44
1947,6,-1.21
1947,7,-2.29
1947,8,-2.02
1947,9,4.73
1947,10,-3.34
1947,11,-2.78
1947,12,-2.59
1948,1,-2.3
1948,2,-0.61
1948,3,0.32
1948,4,0.17
1948,5,-0.28
1948,6,0.36
1948,7,-1.07
1948,8,-2.05
1948,9,4.66
1948,10,-2.57
1948,11,-2.68
1948,12,-1.97
1949,1,1.81
1949,2,2.25
1949,3,2.29
1949,4,2.42
1949,5,2.71
1949,6,2.34
1949,7,2.46
1949,8,1.24
1949,9,7.61
1949,10,2.08
1949,11,1.11
1949,12,0.95
1950,1,-0.35
1950,2,-1.51
1950,3,-2.16
1950,4,-2.47
1950,5,-2.76
1950,6,-2.94
1950,7,-0.8
1950,8,-1.77
1950,9,6.47
1950,10,-1.82
1950,11,-2.36
1950,12,-2.96
1951,1,-2.98
1951,2,-2.83
1951,3,-2.72
1951,4,-2.31
1951,5,-2.63
1951,6,-3.04
1951,7,-3.78
1951,8,-3.94
1951,9,3.83
1951,10,-4.46
1951,11,-4.27
1951,12,-4.07
1952,1,-4.33
1952,2,-3.9
1952,3,-3.29
1952,4,-2.62
1952,5,-2.4
1952,6,-1.64
1952,7,-1.82
1952,8,-2.16
1952,9,5.89
1952,10,-3.28
1952,11,-3
1952,12,-2.92
1953,1,-3.44
1953,2,-3.02
1953,3,-2.79
1953,4,-2.62
1953,5,-2.79
1953,6,-2.79
1953,7,-2.74
1953,8,-3.52
1953,9,4.08
1953,10,-4.28
1953,11,-4.41
1953,12,-4.27
1954,1,-4.32
1954,2,-4.76
1954,3,-4.77
1954,4,-4.88
1954,5,-4.3
1954,6,-4.21
1954,7,-4.77
1954,8,-3.81
1954,9,5.15
1954,10,-3.07
1954,11,-3.42
1954,12,-3.72
1955,1,-2.97
1955,2,-2.91
1955,3,-2.76
1955,4,-2.96
1955,5,-2.97
1955,6,-3.19
1955,7,-0.48
1955,8,-0.94
1955,9,5.61
1955,10,-1.85
1955,11,-2.29
1955,12,-2.82
1956,1,-3.09
1956,2,-2.65
1956,3,-2.95
1956,4,-3.05
1956,5,-3.39
1956,6,-3.41
1956,7,-3.55
1956,8,-3.72
1956,9,3.61
1956,10,-4.74
1956,11,-4.66
1956,12,-4.53
1957,1,-4.37
1957,2,-4.34
1957,3,-4.24
1957,4,-3.85
1957,5,-3.52
1957,6,-3.8
1957,7,-3.27
1957,8,-1.74
1957,9,6.29
1957,10,-0.18
1957,11,1.25
1957,12,0.53
1958,1,0.79
1958,2,1.8
1958,3,3.84
1958,4,4.59
1958,5,4.62
1958,6,4.26
1958,7,3.41
1958,8,2.92
1958,9,10.7
1958,10,5.6
1958,11,4.96
1958,12,3.74
1959,1,2.74
1959,2,2
1959,3,0.73
1959,4,-0.02
1959,5,-0.66
1959,6,-1.76
1959,7,-2.49
1959,8,-0.4
1959,9,7.07
1959,10,-1.95
1959,11,-2.1
1959,12,-2.19
1960,1,-1.38
1960,2,-1.23
1960,3,-1.28
1960,4,-1.64
1960,5,-1.98
1960,6,-1.89
1960,7,-0.9
1960,8,-1.77
1960,9,5.52
1960,10,-1.86
1960,11,-2.19
1960,12,-0.62
1961,1,0.42
1961,2,0.08
1961,3,0.11
1961,4,-0.09
1961,5,-0.63
1961,6,0
1961,7,-0.64
1961,8,-0.36
1961,9,6.97
1961,10,-0.57
1961,11,1.72
1961,12,1.91
1962,1,2.38
1962,2,2.17
1962,3,2.15
1962,4,2.38
1962,5,2
1962,6,1.46
1962,7,3.08
1962,8,1.38
1962,9,8.58
1962,10,2.39
1962,11,1.7
1962,12,2
1963,1,1.61
1963,2,1.36
1963,3,0.79
1963,4,0.05
1963,5,-1.3
1963,6,-1.71
1963,7,-2.18
1963,8,-1.41
1963,9,6.72
1963,10,-1.35
1963,11,-1.45
1963,12,-1.9
1964,1,-2.01
1964,2,-1.95
1964,3,-1.62
1964,4,-1.59
1964,5,-1.74
1964,6,-2.19
1964,7,-2.61
1964,8,-2.74
1964,9,5.78
1964,10,-2.5
1964,11,-2.77
1964,12,-2.72
1965,1,-2.7
