"year","smoothed_pdo","smoothed_nino","smoothed_pdsi","smoothed_spei","smoothed_temp","smoothed_yearlyppt","smoothed_summerppt","smoothed_winterppt"
1940,0.352226036171541,-0.0781153380100676,0.538112309687811,0.0300725881434123,14.6087971056847,228.248443357361,146.717232219356,85.6442256248052
1941,0.299446729538178,-0.077815549615316,0.534517333787539,0.0238137390462359,14.6110451582495,227.512612020792,146.662469675631,85.7084685212811
1942,0.239350114564884,-0.0774923863414087,0.53092274557896,0.017398812818046,14.6131461542866,226.778861987965,146.633938961046,85.7727118142971
1943,0.172908259986942,-0.0771444979325067,0.52732856042902,0.010932436414157,14.6150728759635,226.061231913856,146.635055406897,85.8369555531229
1944,0.101245062636783,-0.0767705884678181,0.523734794234016,0.00452759620589948,14.6168033162889,225.374728059296,146.669242822846,85.9011997927625
1945,0.0256056382852859,-0.0763694333736703,0.520141463151394,-0.00169666088327197,14.6183210399555,224.735022993843,146.739859989269,85.9654445929957
1946,-0.0526776359845187,-0.0759398945505066,0.516548583287061,-0.0076177811599143,14.6196154334055,224.158131111372,146.850126591414,86.0296900171931
1947,-0.132221182124342,-0.0754809332270576,0.512956170347103,-0.0131124401433176,14.6206818452913,223.660069991835,147.003050482343,86.0939361309363
1948,-0.211627063568799,-0.0749916202354728,0.509364239264339,-0.018059380838099,14.6215216215953,223.256517118785,147.20135812705,86.1581830004832
1949,-0.28951927345052,-0.074471143493255,0.505772803811261,-0.0223422702729149,14.6221420423787,222.962471585433,147.447429987842,86.222430691124
1950,-0.364578175208726,-0.0739188125769034,0.502181876211532,-0.0258524893586559,14.6225561693606,222.791930193133,147.743242464644,86.2866792654736
1951,-0.435571899387811,-0.0733340603742686,0.498591466762458,-0.0284917733035136,14.6227826152474,222.757586787094,148.090317809034,86.3509287817509
1952,-0.501383652382461,-0.0727164419047018,0.495001583480542,-0.0301746252368804,14.6228452468539,222.870562784132,148.489683192013,86.4151792920928
1953,-0.561034087460905,-0.0720656304936106,0.491412231781466,-0.0308304338686056,14.6227728346102,223.140175688405,148.941839833024,86.4794308409479
