"year","yearly_ppt_mm","yearly_maxt","yearly_maxt_nas","yearly_mint","yearly_mint_nas","yearly_vpd"
1974,403.62,24.5179613150414,0,4.44725598990059,0,27.1983333333333
1975,226.59,24.2168074756784,0,3.45304019457245,0,27.3175
1976,282.95,24.3670442908346,0,3.59174987199181,0,26.6833333333333
1977,185.396,26.3138055492894,1,5.2877128433302,1,29.0425
1978,392.42,24.757739996686,0,5.68482484948002,0,27.9858333333333
1979,236.456,23.2577340048032,1,2.00736163478099,1,26.2025
1980,214.39,25.1547963590743,0,3.62842691664067,0,28.8983333333333
1981,271.26,25.2048179389994,0,4.85248554145013,0,27.6325
1982,294.87,24.3100640180102,0,5.00283730622528,0,27.1483333333333
1983,248.93,23.7067046173308,0,4.55377398271136,0,25.8266666666667
1984,507.22,24.8463343108504,1,5.72062561094819,1,25.2783333333333
1985,327.15,24.6678187403994,0,4.17156938044035,0,27.06
1986,362.73,24.3793650793651,0,5.20220174091142,0,25.14
1987,270.76,23.7874231950845,0,3.3556643625192,0,25.6908333333333
1988,263.9,24.1636710790427,0,4.07389617345123,0,25.7308333333333
1989,252.46,25.3096023800696,0,4.29872340920728,0,29.1366666666667
1990,259.31,24.1840885816692,0,5.03566308243728,0,26
1991,411.7,23.3986367127496,0,4.80643881208397,0,24.6708333333333
1992,335.27,23.5867043628723,0,4.24093128167099,0,25.9283333333333
1993,262.89,24.3831925243216,0,4.88189324116744,0,27.04
1994,224.78,25.5100289183792,0,5.57213768264241,0,29.66
1995,198.63,25.5367418356677,0,5.48615667960163,0,28.6425
1996,283.98,25.7677205988988,0,5.36905475325016,0,28.6116666666667
1997,421.92,24.324852042638,0,5.0961751544436,0,26.6391666666667
1998,200.92,25.1417566279797,0,4.86636846888469,0,27.57
1999,292.11,25.4575266657227,0,4.89091583167177,0,27.4516666666667
2000,303.53,26.0295704043816,0,4.93260452129445,0,29.2608333333333
2001,162.55,25.7324469884572,0,4.61439731085671,0,28.2516666666667
2002,270.78,25.5682994389941,0,4.12340733741663,0,29.1266666666667
2003,130.05,26.1428958550921,0,4.5138772790627,0,30.2425
2004,404.6,24.0475392677969,0,4.89809599087487,0,26.7441666666667
2005,244.84,25.4174101477473,0,4.87360098949304,0,28.4775
2006,412.46,24.9796431354215,0,4.96947015739442,0,27.8916666666667
2007,278.37,24.9203991272282,0,4.73816003355931,0,27.5525
2008,310.87,24.6723878882759,0,3.6223679212718,0,27.3183333333333
2009,178.83,25.4839340456369,0,4.37276093185437,0,28.8225
2010,165.37,24.2573616752609,0,3.78232522557991,0,27.7783333333333
2011,174.24,25.0729366746905,0,3.30182025176181,0,30.91
2012,98.81,25.3739262547852,0,3.97861541058642,0,30.8883333333333
2013,227.08,23.953257020757,0,3.9312618708452,0,27.5358333333333
2014,207.49,25.0496411932283,0,6.00039819251845,0,27.715
2015,312.93,25.9898773022501,0,7.91429543833725,0,27.245
2016,134.63,25.8179912458694,0,5.67826938318688,0,29.29
2017,42.67,13.3103448275862,0,-1.4,0,10.46
