system:index,AFGC,BG,BUFF_DIST,LTR,NAME,OBJECTID,OBJECTID_1,ORIG_FID,PFGC,POINT_X,POINT_Y,SHR,Shape_Area,Shape_Leng,TREE
1991_0000000000000000003a,4.018867925,40.93396226,10,9.066037736,N3A,59,59,58,34.1509434,337122.53,3604629.5,5.91509434,314.1592654,62.83185307,1
1991_0000000000000000003b,3.914285714,47.76190476,10,10.46666667,N4,60,60,59,22.28571429,336329.19,3601793,6.628571429,314.1592654,62.83185307,0.276190476
1991_0000000000000000003c,3,42.69230769,10,11.30769231,N5,61,61,60,29.30769231,336467.53,3602587.75,5.346153846,314.1592654,62.83185307,1
1991_0000000000000000003d,2.23853211,45.03669725,10,10.76146789,N6,62,62,61,31.44036697,336891.38,3603909,5.724770642,314.1592654,62.83185307,1
1991_0000000000000000003e,2.798076923,39.80769231,10,6.557692308,P1,63,63,62,41.66346154,343184.94,3604709.25,4.115384615,314.1592654,62.83185307,0.221153846
1991_0000000000000000003f,2.475728155,5.097087379,10,8.330097087,P2,64,64,63,73.61165049,342893.94,3604024.25,5.388349515,314.1592654,62.83185307,0
1991_00000000000000000040,1.952380952,50.57142857,10,9.952380952,P3,65,65,64,25.42857143,342794.59,3603173.25,7,314.1592654,62.83185307,1.952380952
1991_00000000000000000041,1.392523364,32.96261682,10,7.158878505,P4,66,66,65,43.75700935,342643.69,3602441.25,8.364485981,314.1592654,62.83185307,0.588785047
1991_00000000000000000042,0.623853211,22.11926606,10,6.623853211,P5,67,67,66,56.06422018,342204.19,3603572.75,5.440366972,314.1592654,62.83185307,0.311926606
1991_00000000000000000043,0,39.87155963,10,12.62385321,PBR1,68,68,67,43.44036697,330867.28,3610028,5.688073394,314.1592654,62.83185307,0.311926606
1991_00000000000000000044,0.076923077,43.96153846,10,15,PBR2,69,69,68,37.92307692,330734.75,3609997.25,6.038461538,314.1592654,62.83185307,1
1991_00000000000000000045,3,50,10,13,PSG1,70,70,69,26,337922.06,3612159.25,8,314.1592654,62.83185307,1
1991_00000000000000000046,2.893203883,45.21359223,10,11.21359223,PSG10,71,71,70,31.67961165,338073.91,3612393,7.106796117,314.1592654,62.83185307,1
1991_00000000000000000047,2.451923077,47.01923077,10,12.24038462,PSG11,72,72,71,31.30769231,338095.53,3612403.75,7.461538462,314.1592654,62.83185307,0.769230769
1991_00000000000000000048,2,46.72115385,10,12.51923077,PSG12,73,73,72,29,338097.59,3612449.5,8,314.1592654,62.83185307,0.240384615
1991_00000000000000000049,2,51.43564356,10,11.78217822,PSG13,74,74,73,26.21782178,337868.84,3612362.75,7.782178218,314.1592654,62.83185307,1
1991_0000000000000000004a,2.087378641,53.2815534,10,14.26213592,PSG14,75,75,74,20.99029126,338061.16,3612043.5,9.40776699,314.1592654,62.83185307,1
