Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1990,0.02,0.06,0.28,0.04,0.13,-2.31,1.08,1.22,1.12,0.68,0.78,0.29
1991,0.46,0.42,0.72,-0.31,-0.09,0.21,1.31,1.36,1.33,-0.87,0.75,2.47
1992,1.86,-0.19,0.51,0.15,2.91,0.31,-0.33,-0.04,-0.58,-0.23,0.04,1.37
1993,1.93,0,-0.36,-0.37,-0.43,-0.31,0.16,1.03,-0.76,0.04,0.35,0.08
1994,-0.67,-0.07,-0.31,-0.01,0.23,-2.33,-1,-1.45,-0.59,-0.19,1.54,1.01
1995,0.79,-0.49,-0.98,0.23,-0.33,-0.07,-0.38,-0.87,0.87,-1.59,-1.45,-1.07
1996,-0.71,-2.1,-0.42,0.2,-2.52,0.46,0.22,0.07,1.07,-0.32,-0.57,-1.31
1997,0.65,0.52,-0.42,0.63,-0.02,0.78,-0.11,-0.4,-0.33,-0.09,0.38,1.63
1998,-1.17,0.3,0.69,0.76,-1.06,-0.32,0.23,-0.65,-2.03,1.55,-0.14,-0.33
1999,-1.19,-1.82,-0.35,0,-0.39,1.26,0.9,0.78,-0.03,-0.48,-1.9,0
2000,-1.93,-1.96,0.13,-1.87,-2.62,2.22,-0.77,-0.65,-2.12,1.32,1.69,-0.68
2001,0.63,-0.17,-0.02,-0.75,-1.16,-0.75,-1.18,-0.69,-1.09,-1.85,-0.48,-0.57
2002,-0.46,1.3,-0.67,-2.37,-0.72,-1.8,0.56,-1.47,-1.17,0.73,-0.39,1.32
2003,-1.95,1.82,-0.22,-0.31,-1.64,0.3,-1.99,-1.61,-1.7,-1.34,0.31,-1.18
2004,-0.31,-0.22,0.44,2.37,-1.29,0.87,-0.68,0.71,0.46,0.52,1.91,0.25
2005,0.89,2.23,0.25,0.14,0.01,-1.1,-2.04,-0.01,-0.44,0.79,-1.48,-1.57
2006,-1.45,-0.93,-1.09,-1.72,-1.77,-1.1,-0.34,2.53,2.07,1.43,-1.57,-0.52
2007,1.82,-0.43,-1,0.96,1.76,-0.26,0.22,-0.54,-0.55,-1.7,-0.71,0.37
2008,-0.91,-0.62,-0.85,-0.41,-0.47,-1.55,2.52,0.42,1.26,-0.43,-0.32,-0.89
2009,-1.47,-1.39,-0.96,-0.17,0.08,0.38,-0.13,-1.1,0.52,-0.02,0.77,1.2
2010,1.68,1.27,0.51,0.22,-0.16,-0.6,1.26,-0.3,-0.44,-0.92,-0.72,-1.59
2011,-0.74,0.21,-1.96,-1.78,-0.21,-1.43,-0.72,-1.27,-0.91,-0.97,0.16,1.75
2012,0.07,-0.45,-0.68,-1.65,0.58,-1.82,-0.53,-1.59,-0.15,-1.62,-1.55,-0.61
2013,0.04,-0.08,-0.95,-0.82,-0.57,-1.83,1.33,-0.21,1.39,-0.85,-0.2,-0.32
2014,-1.02,-2.05,-0.2,-0.52,0,-1.98,-0.35,1.14,1.85,-0.65,0.19,-0.66
2015,1.66,-0.98,-0.16,0.6,1.43,-0.57,1.53,-1.15,-1.48,1.29,0.6,0.7
2016,0.46,-1.19,-1.73,0.48,0.93,-0.76,-2.16,1.09,0.86,-1.83,-0.43,0.77
2017,-0.91,-0.18,-2.58,-0.86,0.12,-0.33,0.82,-1.16,-0.2,1.84,-0.49,0.7
2018,-0.74,0.82,-0.91,-1.81,-1.96,-0.68,0.38,-1.18,-0.8,0.48,1.89,-0.02
2019,-0.62,-0.67,0.14,0.13,0.46,1.3,-1.45,-1.2,-0.82,0.44,-1.99,-0.37
2020,-0.62,1.29,2.03,-1.13,-1.83,-0.39,-0.75,-2.23,-0.41,-0.75,0.74,-0.39
2021,-0.23,-0.1,-0.33,-0.8,-1.11,0.91,1.05,NA,NA,NA,NA,NA
